rank,regionId,name,pixels
313,102838,Daejeon #2,23643209
314,104256,Kirkuk #4,23635018
315,120219,Quảng Ngãi #6,23629606
316,105591,Dallas #1,23622203
317,175277,Stanley #310,23606871
318,84733,Manchester #1,23606058
319,86291,Berlin #9,23532346
320,87910,Astana #27,23517122
321,119194,Huế #7,23429070
322,150707,Foz do Iguaçu #2,23390220
323,140490,Salvador #2,23355111
324,95998,Pamplona #1,23338122
325,143520,Oruro #5,23326242
326,89345,Rouen #5,23323018
327,86287,Hannover #3,23321494
328,89357,Stuttgart #1,23299229
329,103232,Erbil #5,23250781
330,115095,Bắc Giang #1,23242303
331,120961,Santa Ana #2,23230367
332,86280,Amsterdam #4,23228702
333,101819,Pohang #1,23198558
334,90891,Strasbourg #4,23196107
335,87297,London #3,23185881
336,91918,Sankt Gallen #2,23104397
337,94236,Anchorage #9956,23098787
338,81215,Nizhniy Novgorod #53,23048803
339,109162,Chihuahua #10,23031393
340,93446,Saint-Étienne #1,22924069
341,82776,Chelyabinsk #7,22898095
342,81717,Khimki #2,22879133
343,144038,Santa Cruz de la Sierra #24,22874189
344,136606,Depok #3,22794083
345,124310,Rạch Giá #4,22785526
346,86318,Homyel' #17,22762986
347,103878,Shizuoka #2,22737058
348,90905,Bratislava #2,22678469
349,88844,Wiesbaden #5,22659964
350,117143,Vinh #1,22642688
351,149667,Salta #9,22602758
352,148164,Itaboraí #2,22579041
353,116855,Veracruz #17,22542945
354,85779,Berlin #6,22478610
355,101178,Diyarbakır #4,22459367
356,100083,Lisbon #1,22451635
357,114293,Tampico #2,22440488
358,89862,Marne La Vallée #4,22428892
359,124822,Cà Mau #2,22380878
360,89360,Fürth #1,22320581
361,102856,Utsunomiya #3,22290632
362,94464,Bordeaux #10,22253898
363,89856,Caen #4,22208995
364,87828,Dresden #6,22150434
365,86279,Amsterdam #3,22125285
366,69303,Nuuk #75,22055708
367,102195,Adana #5,22004531
368,146114,Betim #3,21969193
369,107826,Beersheba #1,21950708
370,84750,Hamburg #4,21898550
371,114798,Zapopan #4,21877940
372,149181,Sorocaba #2,21877919
373,87823,Erfurt #3,21866124
374,88884,Kharkiv #4,21865971
375,153272,Caxias do Sul #7,21820761
376,120448,Villa Nueva #2,21746217
377,104388,Hamamatsu #2,21741079
378,112557,Taipei #2,21707072
379,94513,Sevastopol #4,21703192
380,157852,Rancagua #2,21610094
381,123041,Caracas #1,21581061
382,144540,Tacna #11,21548058
383,158372,Santa Rosa #1,21540535
384,116341,Poza Rica de Hidalgo #5,21503076
385,98456,Queens #1,21468892
386,86797,Hannover #4,21448872
387,98050,Lleida #5,21444010
388,76075,Saint Petersburg #17,21441608
389,114805,Tampico #3,21415544
390,87838,Radom #4,21407538
391,99750,Beijing #2,21397262
392,127126,Ibagué #1,21396636
393,158894,La Plata #3,21389233
394,89866,Saarbrücken #2,21379334
395,128152,Villavicencio #3,21372835
396,90892,Karlsruhe #6,21359264
397,104384,Himeji #3,21290979
398,151227,Joinville #4,21277887
399,105402,Fukuoka #4,21268248
400,108152,Houston #5,21253713
401,88347,Katowice #1,21166678
402,160410,Los Ángeles #1,21150778
403,94748,Anchorage #9988,21111858
404,100275,Pyongyang #1,21094582
405,117890,Belize City #1,21051422
406,131216,Quito #3,21029168
407,83729,Schwerin #1,21017866
408,99631,Ankara #6,20997713
409,106103,Dallas #2,20964719
410,86286,Hannover #2,20962096
411,89356,Karlsruhe #2,20959229
412,114287,Aguascalientes #2,20949011
413,147650,Juiz de Fora #5,20947000
414,116337,Morelia #3,20943403
415,114797,Zapopan #3,20934576
416,146077,Iquique #10,20903159
417,87827,Dresden #5,20897889
418,86284,Bremen #7,20895178
419,138898,Huacho #4,20867561
420,92938,Genève #5,20846454
421,161433,Temuco #8,20826220
422,125592,Bucaramanga #2,20784247
423,175262,Río Gallegos #63,20739024
424,90373,Marne La Vallée #5,20737388
425,123798,Rạch Giá #2,20717639
426,128151,Villavicencio #2,20662449
427,116335,Uruapan #2,20651844
428,85758,Birmingham #1,20632818
429,138420,Sinop #31,20544106
430,108153,Houston #6,20510426
431,158384,Montevideo #4,20493795
432,89348,Paris #2,20465248
433,139925,Huancayo #15,20464904
434,175278,Stanley #311,20460722
435,155295,San Juan #7,20415618
436,131729,Ambato #2,20405077
437,111221,Reynosa #5,20400377
438,111217,Saltillo #2,20381460
439,116342,Xalapa de Enríquez #3,20304453
440,158875,Talca #6,20300404
441,116631,Thanh Hóa #5,20268673
442,90874,Plymouth #33,20266804
443,95992,Oviedo #35,20266566
444,38596,Ilulissat #2242,20256392
445,152229,Santiago del Estero #10,20254205
446,156318,Mendoza #3,20222223
447,111731,Reynosa #6,20186298
448,117405,Santo Domingo #1,20180906
449,95491,Toulouse #12,20170758
450,95495,Marseille #3,20167964
451,91403,Freiburg #1,20150993
452,83739,Gdańsk #3,20065063
453,96510,Pamplona #3,20015903
454,158380,Merlo #5,20013129
455,143006,Puno #13,20001461
456,105778,Haifa #5,19971785
457,86297,Poznań #12,19968486
458,92972,Odesa #9,19941457
459,97012,Braga #1,19924583
460,81658,Glasgow #35,19855425
461,96010,Nice #3,19798938
462,91903,Nantes #10,19795404
463,98914,Provo #5,19774548
464,90379,Strasbourg #2,19756656
465,80163,Riga #3,19750574
466,121242,Buôn Ma Thuột #2,19742911
467,94520,Krasnodar #11,19730388
468,146258,Port Louis #9,19712669
469,115311,León de los Aldama #3,19708863
470,103352,Ulsan #1,19706884
471,87814,Brussels #1,19700969
472,101814,Wŏnju #2,19700348
473,83280,Ufa #21,19684346
474,143522,Cochabamba #5,19682902
475,92937,Genève #4,19673941
476,115823,Irapuato #1,19662075
477,133834,Fortaleza #134,19655179
478,89349,Marne La Vallée #1,19617567
479,90381,Stuttgart #6,19611907
480,93445,Clermont-Ferrand #7,19605435
481,156843,San Nicolás de los Arroyos #2,19578082
482,148668,Itapetininga #2,19577511
483,88864,Rzeszów #2,19571092
484,149668,Salta #10,19567477
485,81206,Khimki #1,19566854
486,119935,Mixco #1,19534408
487,93778,Portland #2,19482272
488,118391,Oaxaca #7,19480168
489,97535,Zaragoza #7,19447775
490,95989,Ourense #1,19434362
491,99579,Toledo #2,19432383
492,153785,Viamão #1,19425620
493,115314,Santiago de Querétaro #4,19402553
494,106410,Nanjing #4,19386480
495,93449,Genève #7,19381438
496,130705,Quito #2,19350670
497,115824,Morelia #1,19269097
498,87328,Lublin #6,19253175
499,90896,Munich #3,19245884
500,124311,Sóc Trăng #1,19238749
501,122776,Biên Hòa #1,19238249
502,87824,Erfurt #4,19233324
503,125082,Cúcuta #4,19227361
504,89346,Rouen #6,19190346
505,86840,Voronezh #5,19185698
506,95997,Bilbao #10,19177345
507,161946,Temuco #14,19158885
508,90882,Le Mans #3,19152666
509,105268,Damascus #2,19124399
510,96542,Pristina #2,19121108
511,86792,Utrecht #1,19081757
512,157341,Puente Alto #3,19078235
513,140435,Callao #11,19048272
514,86794,Mülheim #1,19029093
515,100596,Lisbon #4,18969809
516,105320,Rawalpindi #1,18960263
517,87833,Wrocław #9,18942003
518,89858,Rouen #8,18930982
519,97411,Chicago #6,18923893
520,93454,Monza #1,18905978
521,156826,Valparaíso #62,18878152
522,76588,Saint Petersburg #22,18876320
523,112232,Culiacán #12,18808703
524,123287,Tân An #1,18781511
525,91219,Bellevue #1,18750424
526,153783,Porto Alegre #1,18670911
527,115233,Honolulu #2102,18651857
528,103233,As Sulaymānīyah #2,18641506
529,89354,Saarbrücken #1,18621495
530,93965,Milan #2,18594229
531,86288,Magdeburg #6,18591947
532,152251,Florianópolis #12,18580466
533,163480,Osorno #13,18571930
534,94332,Minneapolis #30,18545475
535,160408,Concepción #1,18531065
536,96500,Santiago de Compostela #123,18530234
537,87825,Halle (Saale) #6,18523351
538,100607,Murcia #2,18513705
539,91932,Budapest #6,18509593
540,90930,Dnipro #4,18506131
541,99442,Wichita #4,18496941
542,86317,Homyel' #16,18489524
543,93848,Montréal #3,18466374
544,158874,Talca #5,18448346
545,88333,Wiesbaden #4,18421553
546,91913,Besançon #3,18398993
547,109196,Orlando #3,18388185
548,103863,Changwon #1,18370553
549,105747,Tripoli #9,18367150
550,122777,Biên Hòa #2,18361968
551,98147,Tashkent #5,18354042
552,107313,Arīsh #3,18351709
553,86701,Miquelon #65,18348759
554,119707,Quảng Ngãi #1,18316659
555,101300,Incheon #1,18294508
556,95376,Toronto #2,18286393
557,86796,Münster #5,18276111
558,86189,Miquelon #60,18270323
559,85245,Stoke-on-Trent #1,18269095
560,88862,Tarnów #1,18253514
561,103881,Ichihara #2,18210695
562,86793,Eindhoven #1,18210626
563,96906,Detroit #1,18209713
564,85261,Bremen #3,18209201
565,99114,Bursa #4,18192864
566,100089,Córdoba #1,18188035
567,91388,Nantes #1,18181037
568,96066,Grozny #9,18180343
569,100600,Sevilla #1,18156661
570,91440,Kryvyy Rih #8,18149522
571,99068,Madrid #5,18112581
572,91443,Zaporizhzhya #2,18085352
573,103349,Jeonju #1,18080085
574,108333,Cairo #1,18074047
575,127636,Armenia #1,18039608
576,152026,Brisbane #5,18029887
577,104387,Toyohashi #1,18023337
578,76068,Helsinki #7,18021623
579,92415,Nantes #17,17993483
580,149183,Santos #2,17991234
581,90934,Donetsk #2,17990244
582,91904,Angers #3,17971579
583,139413,Huancayo #10,17967162
584,101302,Chuncheon #1,17942129
585,99066,Madrid #3,17940065
586,156848,Durazno #2,17919821
587,95515,Sarajevo #4,17905708
588,91406,Sankt Gallen #1,17884531
589,108151,Houston #4,17865405
590,86285,Bremen #8,17850331
591,115094,Thái Nguyên #1,17844093
592,77092,Tallinn #4,17839349
593,126105,Piedecuesta #1,17839081
594,121232,Bangkok #2,17824894
595,96714,Sapporo #5,17805912
596,104381,Hiroshima #4,17797561
597,103351,Daegu #3,17786980
598,159386,Chillán #1,17765679
